Multiprocessing 启动方法已设置为 'spawn'。
正在创建任务集 (这可能需要一些时间)...
正在为 12x12 (density 0.1) 并行创建 20000 个环境...
创建 20000 个环境完成，耗时: 57.84s
正在为 16x16 (density 0.15) 并行创建 20000 个环境...
创建 20000 个环境完成，耗时: 59.43s
正在为 20x20 (density 0.2) 并行创建 20000 个环境...
创建 20000 个环境完成，耗时: 58.92s
正在为 24x24 (density 0.25) 并行创建 20000 个环境...
创建 20000 个环境完成，耗时: 58.56s
正在为 16x16 (density 0.3) 并行创建 20000 个环境...
创建 20000 个环境完成，耗时: 59.75s
任务集创建完毕。
[Main] 主进程使用 device: cuda
正在从 'reptile_drqn_meta_agent_interrupt.pth' 加载检查点...
成功加载检查点。将从 Iter 2072 和 Epsilon 0.9678 处恢复。
正在创建 14 个工作进程的进程池...
进程池创建完毕。
开始 Reptile 元学习训练 (共 35714 个批次, 14 个任务/批次)...
Meta Batch 150/35714 | Tasks 2100/500000 | Avg Batch Reward: 0.72 | Avg Batch Loss: 0.0013 | Meta Epsilon: 0.9674 | Total Train Steps: 66304 | Time/Batch: 11.93s | Avg Time/Batch: 14.72s
Meta Batch 160/35714 | Tasks 2240/500000 | Avg Batch Reward: 0.69 | Avg Batch Loss: 0.0016 | Meta Epsilon: 0.9653 | Total Train Steps: 70720 | Time/Batch: 13.20s | Avg Time/Batch: 12.43s
Meta Batch 170/35714 | Tasks 2380/500000 | Avg Batch Reward: 0.74 | Avg Batch Loss: 0.0015 | Meta Epsilon: 0.9631 | Total Train Steps: 75200 | Time/Batch: 11.91s | Avg Time/Batch: 12.74s
Meta Batch 180/35714 | Tasks 2520/500000 | Avg Batch Reward: 0.73 | Avg Batch Loss: 0.0013 | Meta Epsilon: 0.9609 | Total Train Steps: 79680 | Time/Batch: 12.11s | Avg Time/Batch: 12.51s
Meta Batch 190/35714 | Tasks 2660/500000 | Avg Batch Reward: 0.57 | Avg Batch Loss: 0.0011 | Meta Epsilon: 0.9588 | Total Train Steps: 84096 | Time/Batch: 13.01s | Avg Time/Batch: 12.57s
Meta Batch 200/35714 | Tasks 2800/500000 | Avg Batch Reward: 0.69 | Avg Batch Loss: 0.0014 | Meta Epsilon: 0.9567 | Total Train Steps: 88512 | Time/Batch: 10.65s | Avg Time/Batch: 11.77s
--- 检查点已保存到 reptile_drqn_meta_agent_interrupt.pth (Iter: 2800) ---
Meta Batch 210/35714 | Tasks 2940/500000 | Avg Batch Reward: 0.64 | Avg Batch Loss: 0.0012 | Meta Epsilon: 0.9546 | Total Train Steps: 92960 | Time/Batch: 11.66s | Avg Time/Batch: 12.47s
Meta Batch 220/35714 | Tasks 3080/500000 | Avg Batch Reward: 0.74 | Avg Batch Loss: 0.0008 | Meta Epsilon: 0.9525 | Total Train Steps: 97408 | Time/Batch: 11.22s | Avg Time/Batch: 12.66s
Meta Batch 230/35714 | Tasks 3220/500000 | Avg Batch Reward: 0.74 | Avg Batch Loss: 0.0014 | Meta Epsilon: 0.9503 | Total Train Steps: 101856 | Time/Batch: 11.04s | Avg Time/Batch: 12.38s
Meta Batch 240/35714 | Tasks 3360/500000 | Avg Batch Reward: 0.65 | Avg Batch Loss: 0.0015 | Meta Epsilon: 0.9483 | Total Train Steps: 106272 | Time/Batch: 13.46s | Avg Time/Batch: 12.79s
Meta Batch 250/35714 | Tasks 3500/500000 | Avg Batch Reward: 0.51 | Avg Batch Loss: 0.0007 | Meta Epsilon: 0.9461 | Total Train Steps: 110752 | Time/Batch: 15.51s | Avg Time/Batch: 12.55s
Meta Batch 260/35714 | Tasks 3640/500000 | Avg Batch Reward: 0.63 | Avg Batch Loss: 0.0009 | Meta Epsilon: 0.9440 | Total Train Steps: 115232 | Time/Batch: 12.41s | Avg Time/Batch: 12.76s
